Location,Spp,FG,d13C,d15N
auca,condor,condor,-21.243,9.38
auca,condor,condor,-21.363,10.153
auca,condor,condor,-21.68,9.676
auca,condor,condor,-18.5,8.757
auca,condor,condor,-19.993,8.872
auca,condor,condor,-19.671,8.636
auca,condor,condor,-18.011,7.893
auca,condor,condor,-21.812,7.809
auca,condor,condor,-21.906,8.036
auca,condor,condor,-21.498,8.608
auca,condor,condor,-21.727,8.355
auca,condor,condor,-22.441,8.775
auca,condor,condor,-22.213,8.557
auca,condor,condor,-22.115,9.599
auca,condor,condor,-21.972,9.092
auca,condor,condor,-24.364,9.386
auca,condor,condor,-24.252,9.474
auca,condor,condor,-24.253,10.107
auca,condor,condor,-23.699,10.527
auca,condor,condor,-18.061,9.689
auca,condor,condor,-22.995,9.829
auca,condor,condor,-23.236,10.37
auca,condor,condor,-20.8,10.023
auca,condor,condor,-21.32,9.249
auca,condor,condor,-21.093,9.645
auca,condor,condor,-21.001,9.245
auca,condor,condor,-22.985,10.093
auca,condor,condor,-21.951,9.578
auca,condor,condor,-22.968,9.017
auca,condor,condor,-22.408,9.239
auca,condor,condor,-22.881,10.145
auca,condor,condor,-22.325,8.476
auca,condor,condor,-22.288,7.925
auca,condor,condor,-22.158,9.031
auca,condor,condor,-22.058,9.1
auca,condor,condor,-21.505,10.081
auca,condor,condor,-21.338,9.94
auca,condor,condor,-21.155,9.75
auca,condor,condor,-19.652,10.09
auca,condor,condor,-21.039,9.955
auca,condor,condor,-21.237,9.105
auca,condor,condor,-21.323,9.291
auca,condor,condor,-20.176,9.068
auca,condor,condor,-23.183,9.422
auca,Equus ferus,terrestrial,-19.316,4.896
auca,Equus ferus,terrestrial,-24.212,4.339
auca,Equus ferus,terrestrial,-21.9,3.011
auca,Equus ferus,terrestrial,-22.133,3.566
auca,Equus ferus,terrestrial,-22.209,2.285
auca,Capra aegagrus,terrestrial,-19.53,9.348
auca,Capra aegagrus,terrestrial,-19.48,10.831
auca,Capra aegagrus,terrestrial,-22.262,6.919
auca,Capra aegagrus,terrestrial,-18.478,7.378
auca,Capra aegagrus,terrestrial,-19.141,7.876
auca,Capra aegagrus,terrestrial,-17.54,8.956
auca,Capra aegagrus,terrestrial,-18.713,9.376
auca,Capra aegagrus,terrestrial,-22.705,2.589
auca,Capra aegagrus,terrestrial,-24.596,3.378
auca,Capra aegagrus,terrestrial,-23.501,3.396
auca,Capra aegagrus,terrestrial,-23.57,4.667
auca,Capra aegagrus,terrestrial,-15.717,5.85
auca,Capra aegagrus,terrestrial,-21.744,5.304
auca,Lama guanicoe,terrestrial,-23.485,3.281
auca,Lama guanicoe,terrestrial,-23.865,3.276
auca,Lama guanicoe,terrestrial,-23.64,4.503
auca,Lama guanicoe,terrestrial,-22.614,3.645
auca,Lama guanicoe,terrestrial,-22.059,3.211
auca,Ovis aries,terrestrial,-25.453,3.224
auca,Ovis aries,terrestrial,-24.531,3.922
auca,Ovis aries,terrestrial,-26.182,4.454
auca,Ovis aries,terrestrial,-23.143,2.989
auca,Ovis aries,terrestrial,-22.643,5.192
auca,Bos taurus,terrestrial,-23.257,5.473
auca,Bos taurus,terrestrial,-24.743,4.501
auca,Bos taurus,terrestrial,-23.051,3.519
auca,Bos taurus,terrestrial,-18.197,3.36
auca,Bos taurus,terrestrial,-19.87,3.612
auca,Bos taurus,terrestrial,-15.53,3.342
auca,Bos taurus,terrestrial,-14.772,3.615
auca,Bos taurus,terrestrial,-23.597,4.41
