Location,Spp,FG,d13C,d15N
quijadas,condor,condor,-17.345,12.117
quijadas,condor,condor,-18.842,9.716
quijadas,condor,condor,-18.636,11.22
quijadas,condor,condor,-17.18,9.405
quijadas,condor,condor,-17.045,13.927
quijadas,condor,condor,-16.449,12.638
quijadas,condor,condor,-17.228,10.659
quijadas,condor,condor,-18.728,11.78
quijadas,condor,condor,-18.104,9.809
quijadas,condor,condor,-18.211,10.205
quijadas,condor,condor,-15.547,14.045
quijadas,condor,condor,-19.188,12.605
quijadas,condor,condor,-16.753,12.478
quijadas,condor,condor,-18.708,9.434
quijadas,Equus ferus,terrestrial,-18.054,6.044
quijadas,Equus ferus,terrestrial,-16.896,6.195
quijadas,Equus ferus,terrestrial,-18.21,6.74
quijadas,Equus ferus,terrestrial,-16.499,7.338
quijadas,Equus ferus,terrestrial,-16.579,9.233
quijadas,Equus ferus,terrestrial,-18.677,7.492
quijadas,Capra aegagrus,terrestrial,-21.574,7.292
quijadas,Capra aegagrus,terrestrial,-22.198,8.182
quijadas,Capra aegagrus,terrestrial,-20.953,8.075
quijadas,Capra aegagrus,terrestrial,-19.959,9.71
quijadas,Capra aegagrus,terrestrial,-23.035,11.079
quijadas,Capra aegagrus,terrestrial,-22.984,11.05
quijadas,Capra aegagrus,terrestrial,-21.552,7.73
quijadas,Capra aegagrus,terrestrial,-19.083,10.135
quijadas,Capra aegagrus,terrestrial,-21.932,7.626
quijadas,Capra aegagrus,terrestrial,-20.895,8.25
quijadas,Capra aegagrus,terrestrial,-21.168,8.202
quijadas,Capra aegagrus,terrestrial,-22.069,7.845
quijadas,Capra aegagrus,terrestrial,-20.735,7.73
quijadas,Capra aegagrus,terrestrial,-22.009,9.467
quijadas,Capra aegagrus,terrestrial,-20.792,7.931
quijadas,Capra aegagrus,terrestrial,-22.403,8.357
quijadas,Ovis aries,terrestrial,-20.738,7.703
quijadas,Ovis aries,terrestrial,-18.746,7.858
quijadas,Bos taurus,terrestrial,-17.476,8.598
quijadas,Bos taurus,terrestrial,-18.649,9.329
quijadas,Bos taurus,terrestrial,-20.477,7.149
quijadas,Bos taurus,terrestrial,-14.886,10.401
quijadas,Bos taurus,terrestrial,-13.923,7.413
